                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0077,                0.46705,                 1.4016,                0.98199,                 0.9531,                0.98028,                0.69024,                 1.1298,                0.39882,                  1.558,               0.003862,               0.003862,               0.003862
                     65,                 1.0093,                0.46668,                 1.4049,                0.98192,                 0.9531,                0.98035,                0.69119,                 1.1293,                0.39838,                 1.5577,               0.003763,               0.003763,               0.003763
                     66,                 1.0099,                0.46699,                 1.4017,                0.98185,                 0.9531,                 0.9804,                0.69073,                 1.1289,                0.39774,                 1.5574,               0.003664,               0.003664,               0.003664
                     67,                 1.0041,                0.46394,                  1.396,                0.98236,                 0.9531,                0.98072,                0.69135,                 1.1286,                  0.397,                 1.5573,               0.003565,               0.003565,               0.003565
                     68,                0.99989,                0.45725,                 1.3907,                 0.9821,                 0.9531,                0.98057,                0.69129,                 1.1284,                0.39651,                  1.557,               0.003466,               0.003466,               0.003466
                     69,                0.99803,                 0.4592,                 1.3898,                0.98282,                0.95356,                0.98094,                0.69233,                 1.1279,                0.39593,                 1.5563,               0.003367,               0.003367,               0.003367
                     70,                0.99659,                0.45644,                  1.388,                0.98268,                 0.9531,                0.98065,                 0.6917,                 1.1277,                0.39554,                 1.5561,               0.003268,               0.003268,               0.003268
                     71,                0.99037,                0.45366,                 1.3842,                0.98259,                0.95323,                 0.9806,                0.69167,                 1.1273,                0.39542,                 1.5562,               0.003169,               0.003169,               0.003169
                     72,                0.98563,                0.44717,                 1.3805,                0.98363,                0.95356,                0.98097,                0.69237,                 1.1271,                 0.3948,                  1.556,                0.00307,                0.00307,                0.00307
                     73,                 0.9866,                0.44932,                 1.3827,                0.98323,                 0.9531,                0.98039,                0.69319,                 1.1265,                0.39502,                 1.5555,               0.002971,               0.002971,               0.002971
                     74,                0.98359,                0.44771,                 1.3771,                0.98358,                 0.9531,                0.98024,                0.69318,                 1.1261,                0.39443,                 1.5553,               0.002872,               0.002872,               0.002872
                     75,                0.98076,                0.44823,                 1.3764,                0.98365,                0.95263,                 0.9808,                0.69354,                  1.126,                0.39387,                 1.5553,               0.002773,               0.002773,               0.002773
                     76,                0.97761,                0.44348,                 1.3769,                0.98367,                 0.9531,                0.98136,                 0.6943,                 1.1259,                0.39355,                 1.5552,               0.002674,               0.002674,               0.002674
                     77,                0.97397,                0.44032,                 1.3716,                0.98306,                0.95282,                0.98089,                0.69472,                 1.1255,                0.39322,                 1.5554,               0.002575,               0.002575,               0.002575
                     78,                0.96973,                0.43975,                 1.3665,                0.98278,                0.95263,                0.98094,                0.69491,                 1.1258,                0.39271,                 1.5555,               0.002476,               0.002476,               0.002476
                     79,                0.96606,                0.43961,                 1.3613,                0.98257,                0.95195,                  0.981,                 0.6943,                 1.1253,                0.39289,                  1.555,               0.002377,               0.002377,               0.002377
